CO_CNES,Razao_Social,Nome_Fantasia,CO_CEP,Cidade,UF,estado_municipio.1,LAT,LONG
2147661,PREFEITURA MUNICIPAL DE ITAU DE MINAS,PROGRAMA DE VIGILANCIA EPIDEMIOLOGICA E C DE DOENCAS,37975000,Itau de Minas,MG,MG,-20.7375,-46.7525
2794047,SECRETARIA DE ESTADO DA SAUDE,HEMONUCLEO DE ITAPORANGA,58780000,Itaporanga,PB,PB,-7.30202,-38.1504
4041283,PREFEITURA MUNICIPAL DE ITAU DE MINAS,PRONTO ATENDIMENTO MUNICIPAL MARIA GUERRA,37975000,Itau de Minas,MG,MG,-20.7375,-46.7525
6260489,PREFEITURA MUNICIPAL DE GUARANESIA,FARMACIA BASICA,37810000,Guaranesia,MG,MG,-21.3009,-46.7964
2229978,PREFEITURA MUNICIPAL DE GRAVATAI,PRONTO ATENDIMENTO MUNICIPAL 24 HORAS GRAVATAI,94010020,Gravatai,RS,RS,-29.9413,-50.9869
23310,MUNICIPIO DE BELO HORIZONTE,UNIDADE DE PRONTO ATENDIMENTO OESTE,30421484,Belo Horizonte,MG,MG,-19.9102,-43.9266
2757354,MUNICIPIO DE CAJAZEIRAS,FARMACIA CENTRAL DO MUNICIPIO,58900000,Cajazeiras,PB,PB,-6.88004,-38.5577
2336766,SECRETARIA DE ESTADO DA SAUDE,CENTRO ESTADUAL DE MEDICACAO DE ALTO CUSTO JUAREZ BARBOSA,74015020,Goiania,GO,GO,-16.6864,-49.2643
2789752,PREFEITURA MUNICIPAL DE BAURU,CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR CEREST BAURU,17012205,Bauru,SP,SP,-22.3246,-49.0871
2121565,NUCLEO REGIONAL DE HEMOTERAPIA DE ITUIUTABA,HEMOMINAS DE ITUIUTABA,38304252,Ituiutaba,MG,MG,-18.9772,-49.4639
833819,EMPREENDIMENTOS PAGUE MENOS SA,FARMACIAS PAGUE MENOS,58328000,Pedras de Fogo,PB,PB,-7.39107,-35.1065
806102,DROGARIA NOSSA SENHORA DA ABADIA ARAGUARI LTDA,DROGARIA NOSSA SENHORA DA ABADIA,38442208,Araguari,MG,MG,-18.6456,-48.1934
804231,REDE BIOMAX,BIOMAXFARMA EIRELI,39237000,Felixlandia,MG,MG,-18.7507,-44.9004
809616,FARMA UDI LTDA,FARMA UDI,38413291,Uberlandia,MG,MG,-18.9141,-48.2749
818194,FARMACIA MARIEL LTDA,FARMACIA MARIEL,40020320,Salvador,BA,BA,-12.9718,-38.5011
843962,MELO GUEDES PRODUTOS FARMACEUTICOS LDTA,FARMACIA FREI DAMIAO,55012290,Caruaru,PE,PE,-8.28455,-35.9699
843210,SOLAR FARMACIAS LTDA,SOLAR MEDICAMENTOS,96045000,Pelotas,RS,RS,-31.7649,-52.3371
842125,RAIA DROGASIL S A,DROGARAIA LJ0598,90040341,Porto Alegre,RS,RS,-30.0318,-51.2065
666416,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS PALLADIUM,80610905,Curitiba,PR,PR,-25.4195,-49.2646
636630,FARMACIA MOURA LTDA,FARMACIA MOURA,87360000,Goioere,PR,PR,-24.1835,-53.0248
656569,DANIELA DE ALMEIDA FANTIM,RONIFARMA,87540000,Perola,PR,PR,-23.8039,-53.6834
653349,FARMAIA E DROGARIA NISSEI S A,DROGARIAS NISSEI FILIAL 052,83005010,Sao Jose dos Pinhais,PR,PR,-25.5313,-49.2031
664235,CARLOS ALBERTO AMADORI,FARMACIA NOSSA SRA APARECIDA,88061090,Florianopolis,SC,SC,-27.5945,-48.5477
650862,FORMULA BASICA FARMACIA DE MANIPULACAO E COSMETICOS LTDA,FORMULA BASICA,88010030,Florianopolis,SC,SC,-27.5945,-48.5477
725684,DROGARIA PLANALTO MB LTDA,FARMACIA DO POVO,76360000,Itapaci,GO,GO,-14.9522,-49.5511
734586,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIA PAGUE MENOS LOJA 83,59104212,Natal,RN,RN,-5.79357,-35.1986
679666,SARE MEDICAMENTOS ESPECIAIS LTDA,ULTRA POPULAR,38413150,Uberlandia,MG,MG,-18.9141,-48.2749
692611,RAIA DROGASIL S A,RAIA DROGASIL,38402253,Uberlandia,MG,MG,-18.9141,-48.2749
650757,FARMACIA OTTO LTDA,FARMACIA CORDEIRO,88310001,Itajai,SC,SC,-26.9101,-48.6705
698695,DROGARIA VITOI DUGSTORE LTDA,ENTREFARMA DROGARIA JUNIOR,35591018,Lagoa da Prata,MG,MG,-20.0237,-45.5401
712752,SAN GERMAIN COMERCIO DE MEDICAMENTOS LTDA,FARMACIA SANTA BRANCA,62508048,Itapipoca,CE,CE,-3.49933,-39.5836
683590,DESCONTAO FARMACIA E DROGARIA LTDA,DESCONTAO FARMACIA,88308004,Itajai,SC,SC,-26.9101,-48.6705
724238,AAT DROGARIA E PERFUMARIA EIRELI,DROGARIA CRISTINA,35790207,Curvelo,MG,MG,-18.7527,-44.4303
774405,SERPA COMERCIO DE MEDICAMENTOS LTDA,SERPAFARMA,88302101,Itajai,SC,SC,-26.9101,-48.6705
709298,DROGARIA MEDIDA CERTA LTDA,DROGARIA MEDIDA CERTA FARMAIS,38413023,Uberlandia,MG,MG,-18.9141,-48.2749
653624,SILVIOFARMA MEDICAMENTOS E PERFUMARIA LTDA,SILVIOFARMA,87160276,Mandaguacu,PR,PR,-23.3458,-52.0944
737682,FARMACIA SHALOOM LTDA,FARMACIA SHALOOM,30512240,Belo Horizonte,MG,MG,-19.9102,-43.9266
788708,RAIA DROGASIL S A,RAIA 767 SP CH ST ANTONIO C,4708001,Sao Paulo,SP,SP,-23.5329,-46.6395
764124,COMERCIO DE MEDICAMENTOS ZANCANARO LTDA,MULTILIZ FARMA,78450180,Nova Mutum,MT,MT,-13.8374,-56.0743
800635,O R DA SILVA KEIBER EIRELI,DROGARIAS HIPER POPULAR,76813304,Porto Velho,RO,RO,-8.76077,-63.8999
679623,BEATRIZ ULTRA POPULAR LTDA,ULTRA POPULAR,38408168,Uberlandia,MG,MG,-18.9141,-48.2749
691887,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,DROBEL FARMACIAS,90510000,Porto Alegre,RS,RS,-30.0318,-51.2065
711993,MUNICIPIO DE URUGUAIANA,FARMACIA NO BAIRRO TABAJARA BRITES,97504480,Uruguaiana,RS,RS,-29.7614,-57.0853
708305,DROGARIA ALVES AZEVEDO LTDA,DROGARIA BIOFARMA,37440000,Caxambu,MG,MG,-21.9753,-44.9319
813575,MUNICIPIO DE MAGE,AGENCIA TRANSFUSIONAL DE MAGE,25901557,Mage,RJ,RJ,-22.6632,-43.0315
635278,LIDER ORGANIZACAO COMERCIAL LTDA,DROGALIDER BA,38400714,Uberlandia,MG,MG,-18.9141,-48.2749
665940,DROGARIA IRMAOS OLIVEIRA LTDA,DROGARIA NOSSA S DA ABADIA,38405008,Uberlandia,MG,MG,-18.9141,-48.2749
678295,FOZ MORUMBI COMERCIO DE MEDICAMENTOS LTDA,FARMACIA MORUMBI,85858440,Foz do Iguacu,PR,PR,-25.5427,-54.5827
691712,A ANGELONI CIA LTDA,FARMACIAS ANGELONI,88025202,Florianopolis,SC,SC,-27.5945,-48.5477
649384,RAIA DROGASIL S A,RAIA DROGASIL S A,38408154,Uberlandia,MG,MG,-18.9141,-48.2749
692646,J CARVALHO DROGARIA EIRELI,MAXI POPULAR,38400448,Uberlandia,MG,MG,-18.9141,-48.2749
670421,MUNICIPIO DE ITAPEJARA DOESTE,BASE DESCENTRALIZADA SAMU 192 DE ITAPEJARA DOESTE,85580000,Itapejara dOeste,PR,PR,-25.9619,-52.8152
674001,ANA A F FELIX,FELIX FARMA,68800000,Breves,PA,PA,-1.68036,-50.4791
714682,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,95058510,Caxias do Sul,RS,RS,-29.1629,-51.1792
691410,IBATIBA FARMACIA IDEAL LTDA,FARMACIA IBAFARMA,29395000,Ibatiba,ES,ES,-20.2347,-41.5087
698563,JACKELINE TOMAZ HENRIQUES,DROGAMAIS PINHAO,85170000,Pinhao,PR,PR,-25.6944,-51.6536
753734,VIEIRA E MOURA COMERCIO DE MEDICAMENTOS LTDA,DROGARIA FUTURA PHARMA,38400712,Uberlandia,MG,MG,-18.9141,-48.2749
704148,ATENO FARMA LTDA,ATENO FARMA,88309645,Itajai,SC,SC,-26.9101,-48.6705
765422,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,PANVEL COSTA CARVALHO,80440210,Curitiba,PR,PR,-25.4195,-49.2646
687901,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS,92025222,Canoas,RS,RS,-29.9128,-51.1857
765449,ARTE PHARMA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI,DOSE CERTA,28635460,Nova Friburgo,RJ,RJ,-22.2932,-42.5377
681970,DROGARIA MARTINS E OLIVEIRA LTDA,DROGARIA MORALLES,32185340,Contagem,MG,MG,-19.9321,-44.0539
689254,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIA PAGUE MENOS,60730202,Fortaleza,CE,CE,-3.71664,-38.5423
659363,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,95995000,Arvorezinha,RS,RS,-28.8737,-52.1781
687421,BIG FARMA MEDICAMENTOS LTDA,FARMACIA CENTROFARMA,78720618,Rondonopolis,MT,MT,-16.4673,-54.6372
713279,FARMACIA E DROGARIA NISSEI S A,DROGARIA NISSEI,81720000,Curitiba,PR,PR,-25.4195,-49.2646
657336,FARMACIA ARV LTDA,FARMACIA ARV LTDA,84560000,Rio Azul,PR,PR,-25.7306,-50.7985
665991,FARMA CERTA MANIPULACAO UBERLANDIA LTDA,FARMACIA N S DA GUIA,38405325,Uberlandia,MG,MG,-18.9141,-48.2749
649937,DROGARIA LOPHES FARMA LTDA,LOPES FARMA,28525000,Cantagalo,RJ,RJ,-21.9797,-42.3664
694215,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS,29045460,Vitoria,ES,ES,-20.3155,-40.3128
734594,IRMAOS MATTAR CIA LTDA,FARMACIA INDIANA,35900700,Itabira,MG,MG,-19.6239,-43.2312
739448,CIA LATINO AMERICANA DE MEDICAMENTOS,FARMACIA PRECO POPULAR,88200000,Tijucas,SC,SC,-27.2354,-48.6322
637335,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,96202188,Rio Grande,RS,RS,-32.0349,-52.1071
722979,ELIZABETE VIANA,VIANAFARMA,88715000,Jaguaruna,SC,SC,-28.6146,-49.0296
674451,IL HORN FARMACIA,IL HORN FARMACIA,84570000,Mallet,PR,PR,-25.8806,-50.8173
772674,MAGISTRAIS FARMA LTDA,PHARMAPELE,41830390,Salvador,BA,BA,-12.9718,-38.5011
785431,DROGARIA ALVES COSTA BATISTA,DROGARIA SAO JOSE,37218000,Ijaci,MG,MG,-21.1738,-44.9233
788619,RAIA DROGASIL S A,DROGASIL 337 SP VL ROMANA 2,5046000,Sao Paulo,SP,SP,-23.5329,-46.6395
648590,CIA LATINO AMERICANA DE MEDICAMENTOS,FARMACIA PRECO POPULAR,88301430,Itajai,SC,SC,-26.9101,-48.6705
677493,ROMERIO SOARES ARAUJO,FARMACIA DO TRABALHADOR,59025090,Natal,RN,RN,-5.79357,-35.1986
685992,DROGARIA E FARMACIA BELMONTE LTDA,DROGARIA DA GENTE,40270060,Salvador,BA,BA,-12.9718,-38.5011
714232,R M COMERCIO DE MEDICAMENTOS E PRODUTOS FARMACEUTICOS LTDA,DROGARIA MEAZZA,76848000,Porto Velho,RO,RO,-8.76077,-63.8999
637157,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,96200003,Rio Grande,RS,RS,-32.0349,-52.1071
650773,JANETE COELHO RODRIGUES,FARMACIA DE MANIPULACAO ALTERNATIVA,36275000,Senhora dos Remedios,MG,MG,-21.0351,-43.5812
700045,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS,29190062,Aracruz,ES,ES,-19.82,-40.2764
696307,A ANGELONI CIA LTDA,FARMACIAS ANGELONI,88085001,Florianopolis,SC,SC,-27.5945,-48.5477
650692,MATRIZ COMERCIO FARMACEUTICO LTDA,FARMAIS,88304400,Itajai,SC,SC,-26.9101,-48.6705
689890,WILSON F DE ASSIS CIA LTDA,DROGARIA UNIFARMA,85950000,Palotina,PR,PR,-24.2868,-53.8404
632597,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS CARAZINHO FILIAL 8,99500000,Carazinho,RS,RS,-28.2958,-52.7933
9924752,DROGARIA SAO PAULO S A,DROGARIA SAO PAULO 2046 MAESTRO CARDIM,1323000,Sao Paulo,SP,SP,-23.5329,-46.6395
7613989,DROGA CENTRO COMERCIO DE MEDICAMENTO LTDA ME,DROGA CENTRO,76900027,JiParana,RO,RO,-10.8777,-61.9322
9907580,CONSORCIO INTERMUNICIPAL DE SAUDE REDE URGENCIA NORTE MINAS,UNIDADE MOVEL SUPORTE AVANCADO SAMU 192 FRANCISCO SA,39580000,Francisco Sa,MG,MG,-16.4827,-43.4896
9933344,BERNARDES E ABREU LTDA,DROGA ZEN,38703698,Patos de Minas,MG,MG,-18.5699,-46.5013
9932127,MUNICIPIO DE PORTO ALEGRE,OPO 2 HOSPITAL SAO LUCAS DA PUC DE PORTO ALEGRE,90610000,Porto Alegre,RS,RS,-30.0318,-51.2065
2228939,INSTITUTO DE ORTOPEDIA GRAVATAI LTDA EPP,IOG INSTITUTO DE ORTOPEDIA GRAVATAI,94030001,Gravatai,RS,RS,-29.9413,-50.9869
9866086,MUNICIPIO DE UBATA,SAMU BASICA UBATA,45550000,Ubata,BA,BA,-14.2063,-39.5207
9862420,MUNICIPIO DE PRAIA GRANDE,SAMU 192 REGIONAL LITORAL SUL 7,11701210,Praia Grande,SP,SP,-24.0084,-46.4121
9738169,MUNICIPIO DE RIO VERMELHO,FARMACIA DE TODOS RIO VERMELHO,39170000,Rio Vermelho,MG,MG,-18.2922,-43.0018
9504923,FARMACIA DO PEDRINHO LTDA,FARMACIA DO PEDRINHO,98780001,Santa Rosa,RS,RS,-27.8702,-54.4796
9812407,LAISE NORBERTA DE ABREU MAIA,DROGARIA SAO JOAO E PERFUMARIA,39205000,Tres Marias,MG,MG,-18.2048,-45.2473
9799214,PREFEITURA MUNICIPAL DE TRES PASSOS,FARMACIA BASICA MUNICIPAL,98600000,Tres Passos,RS,RS,-27.4555,-53.9296
9795855,K R COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA,DROGARIA SANTO ANTONIO,36570055,Vicosa,MG,MG,-20.7559,-42.8742
3350479,SECRETARIA DA SAUDE DO ESTADO DO CEARA,HEMOCE DE QUIXADA,63902125,Quixada,CE,CE,-4.9663,-39.0155
9933328,H PHARMA DROGARIA E DISTRIBUIDORA DE PRODUTOS HOSPITALAR EIR,FARMACIA DROGA CENTER,38703236,Patos de Minas,MG,MG,-18.5699,-46.5013
9902090,MUNICIPIO DE PONTA GROSSA,UNIDADE DE PRONTO ATENDIMENTO UPA SANTANA,84040010,Ponta Grossa,PR,PR,-25.0916,-50.1668
9870520,PREFEITURA MUNICIPAL DE BOM JARDIM DE GOIAS,SERVICOS DE ATENDIMENTO MOVEL DE URGENCIA SAMU,76245000,Bom Jardim de Goias,GO,GO,-16.2063,-52.1728
994243,MUNICIPIO DE MIRANDIBA,CAF CENTRAL DE ABASTECIMENTO FARMACEUTICO,56980000,Mirandiba,PE,PE,-8.12113,-38.7388
998974,PREFEITURA MUNICIPAL DE SERRITA,CAF CENTRAL DE ABASTECIMENTO FARMACEUTICO,56140000,Serrita,PE,PE,-7.94041,-39.2951
2870525,FARMACIA E DROGARIA NISSEI S A,DROGARIA NISSEI,80020320,Curitiba,PR,PR,-25.4195,-49.2646
976598,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS,99713042,Erechim,RS,RS,-27.6364,-52.2697
998672,MB FARMACIA E DROGARIA LTDA,COOPERFARMA,85851210,Foz do Iguacu,PR,PR,-25.5427,-54.5827
988189,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS,96400110,Bage,RS,RS,-31.3297,-54.0999
998605,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS,17026570,Bauru,SP,SP,-22.3246,-49.0871
2826747,SERUM HEMATOLOGIA E HEMOTERAPIA LTDA,SERUM HEMATOLOGIA E HEMOTERAPIA TIJUCA II,20521060,Rio de Janeiro,RJ,RJ,-22.9129,-43.2003
2827697,FARMACIA ITOUPAVA CENTRAL LTDA,FARMACIA ITOUPAVA CENTRAL,89068001,Blumenau,SC,SC,-26.9155,-49.0709
950653,ALMOXARIFADO DA SECRETARIA DE SAUDE DE MOGI DAS CRUZES,ALMOXARIFADO DA SECRETARIA DE SAUDE DE MOGI DAS CRUZES,8773130,Mogi das Cruzes,SP,SP,-23.5208,-46.1854
989770,ALENCAR NEGRINI SIQUEIRA,FARMACIAS ASSOCIADAS,99200000,Guapore,RS,RS,-28.8399,-51.8895
989355,ANTONIO CAVALCANTE DE MELO,FARMACIA CAVALCANTE,55370000,Sao Bento do Una,PE,PE,-8.52637,-36.4465
953598,RCC DROGARIAS E FARMACIAS LTDA,RENI FARMACIAS MATRIZ,97010530,Santa Maria,RS,RS,-29.6868,-53.8149
958913,L BUSS DOS SANTOS EIRELI,GREEN VILLE FARMA,76960970,Cacoal,RO,RO,-11.4343,-61.4562
2798301,PREFEITURA MUNICIPAL DE CARUARU,FARMACIA CARUARU UNIDADE MOVEL,55008000,Caruaru,PE,PE,-8.28455,-35.9699
969397,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO JOAO FARMACIAS FILIAL 1090 ESPUMOSO,99400000,Espumoso,RS,RS,-28.7286,-52.8461
6740936,SAMU DE POMERODE,SAMU DE POMERODE,89107000,Pomerode,SC,SC,-26.7384,-49.1785
989460,RAIA DROGASIL S A,DROGARAIA LJ1098,97501540,Uruguaiana,RS,RS,-29.7614,-57.0853
2834995,DROGARIA WC LTDA,DROGARIA WC LTDA,32676455,Betim,MG,MG,-19.9668,-44.2008
2836661,RIGUETI E SOUZA FARMACIA E DROGARIA LTDA,FARMELHOR,29215002,Guarapari,ES,ES,-20.6772,-40.5093
999482,PMP DROGARIA E COMERCIO DE ELETRONICOS S A,PMP FARMACIAS FILIAL 167,95590000,Tramandai,RS,RS,-29.9841,-50.1322
2802406,DROGARIA MARINHO E AVILA LTDA,DROGARIA MARINHO,35030414,Governador Valadares,MG,MG,-18.8545,-41.9555
2022230,AMERICAN PHARMA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI,AMERICAN PHARMA,90160092,Porto Alegre,RS,RS,-30.0318,-51.2065
2831430,PREFEITURA MUNICIPAL DE CAIEIRAS,PRONTO ATENDIMENTO DE LARANJEIRAS,7740510,Caieiras,SP,SP,-23.3607,-46.7397
